"phylum","class","order","spp","genomes","sequences","papers"
"Cnidaria","Scyphozoa","Coronatae",20,0,61,4
"Porifera","Calcarea","Leucosolenida",63,0,513,3
"Arthropoda","Insecta","Blattodea",2759,3,76492,5686
"Arthropoda","Insecta","Phthiraptera",1421,1,24679,2865
"Porifera","Demospongiae","Agelasida",57,0,332,14
"Annelida","Clitellata","Lumbriculida",82,0,550,4
"Rotifera","Monogononta","Ploima",734,0,85135,2
"Arthropoda","Branchiopoda","Diplostraca",1134,2,606626,5
"Arthropoda","Cephalocarida","Brachypoda",9,0,81,16
"Arthropoda","Ostracoda","Myodocopida",90,0,65630,8
"Arthropoda","Ostracoda","Podocopida",416,0,3500,12
"Arthropoda","Maxillopoda","Misophrioida",3,0,3,1
"Arthropoda","Maxillopoda","Monstrilloida",19,0,52,8
"Arthropoda","Maxillopoda","Poecilostomatoida",156,0,567,36
"Arthropoda","Maxillopoda","Cyclopoida",431,1,58287,2362
"Arthropoda","Arachnida","Trombidiformes",3799,1,100632,99
"Chordata","Actinopteri","Lampriformes",34,0,820,1
"Chordata","Actinopteri","Polymixiiformes",11,0,132,1
"Chordata","Actinopteri","Percopsiformes",16,0,1677,1
"Porifera","Homoscleromorpha","Homosclerophorida",70,0,293,4
"Platyhelminthes",NA,"Prolecithophora",35,0,67,7
"Gastrotricha",NA,"Macrodasyida",107,0,387,21
"Chordata","Thaliacea","Pyrosomata",4,0,10,0
"Chordata","Thaliacea","Doliolida",3,0,6,2
"Chordata","Actinopteri","Beloniformes",243,1,109564,2282
"Arthropoda","Malacostraca","Thermosbaenacea",17,0,278,5
"Arthropoda","Malacostraca","Spelaeogriphacea",1,0,1,2
"Arthropoda","Malacostraca","Lophogastrida",7,0,20,9
"Arthropoda","Malacostraca","Mysida",168,0,1875,30
"Arthropoda","Malacostraca","Tanaidacea",104,0,323,53
"Arthropoda","Malacostraca","Mictacea",2,0,2,1
"Arthropoda","Malacostraca","Anaspidacea",12,0,106,4
"Arthropoda","Malacostraca","Bathynellacea",156,0,288,3
"Arthropoda","Malacostraca","Amphionidacea",1,0,4,1
"Nematoda","Chromadorea","Desmodorida",262,0,578,7
"Arthropoda","Maxillopoda","Siphonostomatoida",199,2,138794,2353
"Arthropoda","Diplopoda","Polydesmida",336,0,5896,84
"Mollusca","Gastropoda","Nudibranchia",1002,0,7159,55
"Nematoda","Chromadorea","Oxyurida",145,2,25802,1264
"Nematoda","Chromadorea","Chromadorida",224,0,400,12
"Nematoda","Enoplea","Mononchida",83,0,198,6
"Nematoda","Chromadorea","Rhigonematida",20,0,43,3
"Nematoda","Chromadorea","Monhysterida",207,0,798,16
"Cnidaria",NA,"Multivalvulida",84,1,582,61
"Chordata","Actinopteri","Myctophiformes",297,0,3511,7
"Chordata","Actinopteri","Aulopiformes",252,0,1872,26
"Brachiopoda","Rhynchonellata","Thecideida",10,0,17,2
"Gnathostomulida",NA,"Bursovaginoidea",20,0,65,1
"Platyhelminthes",NA,"Haplopharyngida",3,0,13,0
"Arthropoda","Arachnida","Oribatida",1557,4,11941,232
"Arthropoda","Arachnida","Endeostigmata",68,0,228,7
"Arthropoda","Arachnida","Holothyrida",13,0,30,2
"Annelida","Polychaeta","Eunicida",394,0,3252,17
"Mollusca","Bivalvia","Pholadomyoida",73,0,326,1
"Arthropoda",NA,"Pauropoda",32,0,146,22
"Arthropoda","Diplopoda","Glomerida",48,0,41088,13
"Arthropoda",NA,"Symphyla",35,0,77387,31
"Arthropoda","Arachnida","Amblypygi",50,0,272,50
"Annelida","Clitellata","Acanthobdellida",2,0,9,8
"Porifera","Hexactinellida","Lyssacinosida",54,0,271,5
"Acanthocephala","Archiacanthocephala","Oligacanthorhynchida",13,0,140,4
"Acanthocephala","Archiacanthocephala","Gigantorhynchida",6,0,10,0
"Arthropoda","Chilopoda","Geophilomorpha",139,1,3236,39
"Arthropoda","Chilopoda","Craterostigmomorpha",3,0,468,8
"Arthropoda","Branchiopoda","Notostraca",234,1,2036,55
"Arthropoda","Insecta","Grylloblattodea",63,0,1236,18
"Arthropoda","Malacostraca","Leptostraca",47,0,41347,8
"Arthropoda","Arachnida","Uropygi",12,0,209,11
"Arthropoda","Arachnida","Ricinulei",106,0,284,19
"Chordata","Aves","Upupiformes",4,0,1704,2
"Chordata","Aves","Coliiformes",6,1,116671,11
"Chordata","Aves","Bucerotiformes",62,1,113408,2
"Nematoda","Enoplea","Enoplida",541,0,1745,5553
"Acanthocephala","Palaeacanthocephala","Echinorhynchida",71,0,1001,8
"Platyhelminthes","Cestoda","Tetraphyllidea",132,0,281,137
"Platyhelminthes","Cestoda","Trypanorhyncha",115,0,294,112
"Chordata","Aves","Trogoniformes",39,1,98801,10
"Chordata","Aves","Musophagiformes",23,1,108276,5
"Annelida","Clitellata","Branchiobdellida",60,0,376,9
"Echinodermata","Crinoidea","Isocrinida",15,0,90,4
"Echinodermata","Asteroidea","Paxillosida",111,0,85114,10
"Echinodermata","Asteroidea","Spinulosida",93,0,257188,5
"Echinodermata","Holothuroidea","Elasipodida",22,0,236,5
"Echinodermata","Ophiuroidea","Euryalida",141,0,576,4
"Mollusca","Cephalopoda","Vampyromorpha",1,0,29,5
"Chordata","Actinopteri","Albuliformes",28,0,578,8
"Mollusca","Caudofoveata","Limifossorida",2,0,8,0
"Mollusca","Caudofoveata","Chaetodermatida",11,0,38,0
"Platyhelminthes","Cestoda","Proteocephalidea",174,0,834,87
"Arthropoda","Diplopoda","Polyxenida",12,0,14040,8
"Bryozoa","Gymnolaemata","Ctenostomatida",52,0,746,1
"Arthropoda","Arachnida","Pseudoscorpiones",381,0,1066,33
"Kinorhyncha",NA,"Homalorhagida",20,0,56,4
"Chordata","Actinopteri","Galaxiiformes",72,0,7629,1
"Nematoda","Chromadorea","Diplogasterida",205,1,10103,8
"Arthropoda","Insecta","Embioptera",116,0,16151,25
"Arthropoda","Insecta","Plecoptera",1186,2,26557,381
"Arthropoda","Insecta","Megaloptera",207,0,72134,80
"Arthropoda","Insecta","Raphidioptera",74,0,29861,28
"Ctenophora","Tentaculata","Cydippida",32,1,405,2
"Chordata","Actinopteri","Stomiiformes",322,0,1577,11
"Mollusca","Bivalvia","Trigonioida",3,0,31,0
"Mollusca","Bivalvia","Unionoida",540,0,199825,43
"Acanthocephala","Eoacanthocephala","Gyracanthocephala",26,0,83,0
"Mollusca","Bivalvia","Nuculoida",26,0,1185,2
"Annelida","Polychaeta","Spionida",408,0,2611,3
"Nematoda","Enoplea","Dorylaimida",658,0,2828,51
"Porifera","Calcarea","Clathrinida",110,0,1015,3
"Acanthocephala","Eoacanthocephala","Neoechinorhynchida",40,0,610,0
"Acanthocephala","Palaeacanthocephala","Polymorphida",51,0,509,4
"Cnidaria","Anthozoa","Zoantharia",2219,5,1589361,26
"Mollusca","Bivalvia","Pterioida",88,1,9163,3
"Cnidaria","Anthozoa","Corallimorpharia",77,0,445,13
"Cnidaria","Anthozoa","Antipatharia",166,0,889,18
"Chordata","Actinopteri","Synbranchiformes",121,1,69823,18
"Arthropoda","Arachnida","Opiliones",1363,0,10630,195
"Arthropoda","Arachnida","Schizomida",23,0,213,10
"Cnidaria","Hydrozoa","Narcomedusae",21,0,24583,6
"Cnidaria","Hydrozoa","Trachymedusae",24,0,151,2
"Cnidaria","Hydrozoa","Siphonophorae",143,0,663,3
"Mollusca","Bivalvia","Solemyoida",53,0,171,1
"Chordata","Actinopteri","Mugiliformes",110,0,5685,25
"Annelida","Polychaeta","Echiuroinea",26,0,129,2
"Chordata","Actinopteri","Osteoglossiformes",262,1,69399,34
"Chordata","Actinopteri","Osmeriformes",71,0,119110,307
"Arthropoda","Diplopoda","Julida",156,0,419,32
"Echinodermata","Echinoidea","Echinothurioida",5,0,17,2
"Arthropoda","Chilopoda","Lithobiomorpha",193,0,8112,30
"Arthropoda","Chilopoda","Scolopendromorpha",180,0,19554,38
"Arthropoda","Chilopoda","Scutigeromorpha",49,0,618,16
"Arthropoda","Arachnida","Solifugae",122,0,466,28
"Gastrotricha",NA,"Chaetonotida",103,0,530,16
"Echinodermata","Echinoidea","Spatangoida",65,0,529,7
"Arthropoda","Maxillopoda","Harpacticoida",484,0,77305,2355
"Echinodermata","Asteroidea","Valvatida",212,3,290375,8
"Cnidaria","Anthozoa","Alcyonacea",2040,0,14126,50
"Chordata","Chondrichthyes","Heterodontiformes",9,0,209,8
"Platyhelminthes","Monogenea","Polyopisthocotylea",342,1,318311,60
"Platyhelminthes",NA,"Proseriata",111,0,673,24
"Platyhelminthes",NA,"Macrostomida",65,1,348,16
"Chordata","Mammalia","Peramelemorphia",20,0,687,13
"Chordata","Mammalia","Notoryctemorphia",2,0,101,9
"Chordata","Mammalia","Diprotodontia",126,2,192583,36
"Chordata","Mammalia","Dasyuromorphia",93,1,133676,22
"Chordata","Mammalia","Microbiotheria",1,0,196,17
"Chordata","Mammalia","Paucituberculata",6,0,136,7
"Chordata","Mammalia","Didelphimorphia",133,1,85093,59
"Arthropoda","Maxillopoda","Kentrogonida",58,0,494,5
"Arthropoda","Maxillopoda","Apygophora",2,0,23,1
"Arthropoda","Maxillopoda","Pygophora",50,0,369,2
"Ctenophora","Nuda","Beroida",9,0,116,2
"Cnidaria","Scyphozoa","Rhizostomeae",80,0,1645,15
"Cnidaria","Staurozoa","Stauromedusae",43,0,515448,9
"Cnidaria","Anthozoa","Ceriantharia",25,0,157,11
"Platyhelminthes","Trematoda","Azygiida",212,0,983,0
"Cnidaria",NA,"Bivalvulida",676,3,3921,73
"Echinodermata","Echinoidea","Cassiduloida",3,0,8,3
